Player Name,Picture,Base Price,Tier,Pos,Nationality,Rating,Retention Price
R. Mahrez,https://cdn.sofifa.net/players/204/485/23_60.png,6 Cr,B,RW,Algeria,86,8 Cr
L. Martínez,https://cdn.sofifa.net/players/231/478/23_60.png,6 Cr,B,ST,Argentina,86,8 Cr
C. Nkunku,https://cdn.sofifa.net/players/232/411/23_60.png,6 Cr,B,CF,France,86,8 Cr
Iago Aspas,https://cdn.sofifa.net/players/192/629/23_60.png,6 Cr,B,ST,Spain,85,8 Cr
Sergio Busquets,https://cdn.sofifa.net/players/189/511/23_60.png,6 Cr,B,CDM,Spain,85,8 Cr
M. Depay,https://cdn.sofifa.net/players/202/556/23_60.png,6 Cr,B,CF,Netherlands,85,8 Cr
İ. Gündoğan,https://cdn.sofifa.net/players/186/942/23_60.png,6 Cr,B,CM,Germany,85,8 Cr
P. Pogba,https://cdn.sofifa.net/players/195/864/23_60.png,6 Cr,B,CM,France,85,8 Cr
Diogo Jota,https://cdn.sofifa.net/players/224/458/23_60.png,6 Cr,B,CF,Portugal,85,8 Cr
P. Aubameyang,https://cdn.sofifa.net/players/188/567/23_60.png,6 Cr,B,ST,Gabon,83,8 Cr
P. Schick,https://cdn.sofifa.net/players/234/236/23_60.png,6 Cr,B,ST,Czech Republic,85,8 Cr
Gerard Moreno,https://cdn.sofifa.net/players/208/093/23_60.png,6 Cr,B,ST,Spain,85,8 Cr
P. Foden,https://cdn.sofifa.net/players/237/692/23_60.png,6 Cr,B,LW,England,85,8 Cr
J. Vardy,https://cdn.sofifa.net/players/208/830/23_60.png,6 Cr,B,ST,England,85,8 Cr
N. Fekir,https://cdn.sofifa.net/players/216/594/23_60.png,6 Cr,B,CAM,France,85,8 Cr
S. Gnabry,https://cdn.sofifa.net/players/206/113/23_60.png,6 Cr,B,RM,Germany,85,8 Cr
Pedri,https://cdn.sofifa.net/players/251/854/23_60.png,6 Cr,B,CM,Spain,85,8 Cr
Jorginho,https://cdn.sofifa.net/players/205/498/23_60.png,6 Cr,B,CM,Italy,85,8 Cr
M. Reus,https://cdn.sofifa.net/players/188/350/23_60.png,6 Cr,B,CAM,Germany,85,8 Cr
F. Kostić,https://cdn.sofifa.net/players/208/574/23_60.png,6 Cr,B,LM,Serbia,85,8 Cr
K. Walker,https://cdn.sofifa.net/players/188/377/23_60.png,6 Cr,B,RB,England,85,8 Cr
Y. Carrasco,https://cdn.sofifa.net/players/208/418/23_60.png,6 Cr,B,LM,Belgium,85,8 Cr
Jordi Alba,https://cdn.sofifa.net/players/189/332/23_60.png,6 Cr,B,LB,Spain,85,8 Cr
N. Süle,https://cdn.sofifa.net/players/212/190/23_60.png,6 Cr,B,CB,Germany,85,8 Cr
M. Acuña,https://cdn.sofifa.net/players/224/334/23_60.png,6 Cr,B,LB,Argentina,85,8 Cr
T. Hernández,https://cdn.sofifa.net/players/232/656/23_60.png,6 Cr,B,LB,France,85,8 Cr
M. de Ligt,https://cdn.sofifa.net/players/235/243/23_60.png,6 Cr,B,CB,Netherlands,85,8 Cr
Raphinha,https://cdn.sofifa.net/players/241/679/23_60.png,6 Cr,B,RW,Brazil,85,8 Cr
W. Ben Yedder,https://cdn.sofifa.net/players/209/331/23_60.png,6 Cr,B,ST,France,85,8 Cr
J. Musiala,https://cdn.sofifa.net/players/257/971/23_60.png,6 Cr,B,CAM,Germany,83,8 Cr
J. Tartt,https://cdn.sofifa.net/players/269/761/23_60.png,3 Cr,C,ST,England,84,4 Cr
A. Hakimi,https://cdn.sofifa.net/players/235/212/23_60.png,3 Cr,C,RB,Morocco,84,4 Cr
R. James,https://cdn.sofifa.net/players/238/074/23_60.png,3 Cr,C,RWB,England,84,4 Cr
G. Chiellini,https://cdn.sofifa.net/players/138/956/23_60.png,3 Cr,C,CB,Italy,84,4 Cr
J. Koundé,https://cdn.sofifa.net/players/241/486/23_60.png,3 Cr,C,CB,France,84,4 Cr
Rafael Leão,https://cdn.sofifa.net/players/241/721/23_60.png,3 Cr,C,LW,Portugal,84,4 Cr
João Félix,https://cdn.sofifa.net/players/242/444/23_60.png,3 Cr,C,CF,Portugal,84,4 Cr
F. Chiesa,https://cdn.sofifa.net/players/235/805/23_60.png,3 Cr,C,LW,Italy,84,4 Cr
F. Tomori,https://cdn.sofifa.net/players/232/756/23_60.png,3 Cr,C,CB,England,84,4 Cr
J. Sancho,https://cdn.sofifa.net/players/233/049/23_60.png,3 Cr,C,LW,England,84,4 Cr
Oyarzabal,https://cdn.sofifa.net/players/230/142/23_60.png,3 Cr,C,LW,Spain,84,4 Cr
D. Vlahović,https://cdn.sofifa.net/players/246/430/23_60.png,3 Cr,C,ST,Serbia,84,4 Cr
E. Džeko,https://cdn.sofifa.net/players/180/930/23_60.png,3 Cr,C,ST,Bosnia and Herzegovina,84,4 Cr
E. Hazard,https://cdn.sofifa.net/players/183/277/23_60.png,3 Cr,C,LW,Belgium,84,4 Cr
Á. Di María,https://cdn.sofifa.net/players/183/898/23_60.png,3 Cr,C,RW,Argentina,84,4 Cr
M. Ødegaard,https://cdn.sofifa.net/players/222/665/23_60.png,3 Cr,C,CAM,Norway,84,4 Cr
Éder Militão,https://cdn.sofifa.net/players/240/130/23_60.png,3 Cr,C,CB,Brazil,84,4 Cr
L. Díaz,https://cdn.sofifa.net/players/241/084/23_60.png,3 Cr,C,LW,Colombia,84,4 Cr
A. Davies,https://cdn.sofifa.net/players/234/396/23_60.png,3 Cr,C,LB,Canada,84,4 Cr
A. Bastoni,https://cdn.sofifa.net/players/237/383/23_60.png,3 Cr,C,CB,Italy,84,4 Cr
Carvajal,https://cdn.sofifa.net/players/204/963/23_60.png,3 Cr,C,RB,Spain,84,4 Cr
Marcos Llorente,https://cdn.sofifa.net/players/226/161/23_60.png,3 Cr,C,CM,Spain,84,4 Cr
L. Sané,https://cdn.sofifa.net/players/222/492/23_60.png,3 Cr,C,LM,Germany,84,4 Cr
F. Valverde,https://cdn.sofifa.net/players/239/053/23_60.png,3 Cr,C,CM,Uruguay,84,4 Cr
S. Tonali,https://cdn.sofifa.net/players/241/096/23_60.png,3 Cr,C,CDM,Italy,84,4 Cr
Y. Tielemans,https://cdn.sofifa.net/players/216/393/23_60.png,3 Cr,C,CM,Belgium,84,4 Cr
M. Diaby,https://cdn.sofifa.net/players/241/852/23_60.png,3 Cr,C,RM,France,84,4 Cr
R. De Paul,https://cdn.sofifa.net/players/212/616/23_60.png,3 Cr,C,CM,Argentina,84,4 Cr
M. Mount,https://cdn.sofifa.net/players/233/064/23_60.png,3 Cr,C,CAM,England,84,4 Cr
K. Havertz,https://cdn.sofifa.net/players/235/790/23_60.png,3 Cr,C,CAM,Germany,84,4 Cr
L. Hernández,https://cdn.sofifa.net/players/220/814/23_60.png,3 Cr,C,CB,France,84,4 Cr
I. Perišić,https://cdn.sofifa.net/players/181/458/23_60.png,3 Cr,C,LM,Croatia,84,4 Cr
F. Kessié,https://cdn.sofifa.net/players/230/938/23_60.png,3 Cr,C,CDM,Côte d'Ivoire,84,4 Cr
L. Pellegrini,https://cdn.sofifa.net/players/228/251/23_60.png,3 Cr,C,CAM,Italy,84,4 Cr
W. Ndidi,https://cdn.sofifa.net/players/226/790/23_60.png,3 Cr,C,CDM,Nigeria,84,4 Cr
D. Rice,https://cdn.sofifa.net/players/234/378/23_60.png,3 Cr,C,CDM,England,84,4 Cr
S. Savić,https://cdn.sofifa.net/players/204/639/23_60.png,3 Cr,C,CB,Montenegro,84,4 Cr
J. Bellingham,https://cdn.sofifa.net/players/252/371/23_60.png,3 Cr,C,CM,England,84,4 Cr
A. Gómez,https://cdn.sofifa.net/players/143/076/23_60.png,3 Cr,C,CAM,Argentina,84,4 Cr
R. Varane,https://cdn.sofifa.net/players/201/535/23_60.png,3 Cr,C,CB,France,84,4 Cr
M. Hummels,https://cdn.sofifa.net/players/178/603/23_60.png,3 Cr,C,CB,Germany,84,4 Cr
S. de Vrij,https://cdn.sofifa.net/players/198/176/23_60.png,3 Cr,C,CB,Netherlands,84,4 Cr
K. Trippier,https://cdn.sofifa.net/players/186/345/23_60.png,3 Cr,C,RB,England,84,4 Cr
L. Bonucci,https://cdn.sofifa.net/players/184/344/23_60.png,3 Cr,C,CB,Italy,84,4 Cr
J. Matip,https://cdn.sofifa.net/players/197/061/23_60.png,3 Cr,C,CB,Cameroon,84,4 Cr
Sergio Ramos,https://cdn.sofifa.net/players/155/862/23_60.png,3 Cr,C,CB,Spain,84,4 Cr
O. Dembélé,https://cdn.sofifa.net/players/231/443/23_60.png,3 Cr,C,RW,France,83,4 Cr
A. Griezmann,https://cdn.sofifa.net/players/194/765/23_60.png,3 Cr,C,ST,France,83,4 Cr
V. Osimhen,https://cdn.sofifa.net/players/232/293/23_60.png,3 Cr,C,ST,Nigeria,83,4 Cr
G. Kobel,https://cdn.sofifa.net/players/235/073/23_60.png,3 Cr,C,GK,Switzerland,85,4 Cr
S. Coates,https://cdn.sofifa.net/players/200/731/23_60.png,3 Cr,C,CB,Uruguay,84,4 Cr
R. Guerreiro,https://cdn.sofifa.net/players/213/345/23_60.png,3 Cr,C,LB,Portugal,84,4 Cr
A. Grimaldo,https://cdn.sofifa.net/players/222/492/23_60.png,3 Cr,C,LB,Spain,84,4 Cr
G. Di Lorenzo,https://cdn.sofifa.net/players/213/029/23_60.png,3 Cr,C,RB,Italy,84,4 Cr
R. Araújo,https://cdn.sofifa.net/players/246/388/23_60.png,3 Cr,C,CB,Uruguay,84,4 Cr
O. Giroud,https://cdn.sofifa.net/players/182/521/23_60.png,3 Cr,C,ST,France,84,4 Cr
Emre Can,https://cdn.sofifa.net/players/210/257/23_60.png,3 Cr,C,CDM,Germany,84,4 Cr
M. Asensio,https://cdn.sofifa.net/players/211/117/23_60.png,3 Cr,C,CAM,Spain,84,4 Cr
C. Gakpo,https://cdn.sofifa.net/players/246/388/23_60.png,3 Cr,C,LW,Netherlands,84,4 Cr
F. Mendy,https://cdn.sofifa.net/players/240/003/23_60.png,3 Cr,C,LB,France,84,4 Cr
Jesus Navas,https://cdn.sofifa.net/players/176/580/23_60.png,3 Cr,C,RB,Spain,83,4 Cr
S. Canales,https://cdn.sofifa.net/players/204/596/23_60.png,3 Cr,C,CAM,Spain,84,4 Cr
Muniain,https://cdn.sofifa.net/players/204/963/23_60.png,3 Cr,C,LM,Spain,84,4 Cr
H. Ziyech,https://cdn.sofifa.net/players/224/334/23_60.png,3 Cr,C,RM,Morocco,84,4 Cr
B. Saka,https://cdn.sofifa.net/players/246/669/23_60.png,1 Cr,D,RM,England,82,2 Cr
A. Tchouaméni,https://cdn.sofifa.net/players/241/637/23_60.png,1 Cr,D,CM,France,82,2 Cr
S. Obisanya,https://cdn.sofifa.net/players/269/765/23_60.png,1 Cr,D,RM,Nigeria,81,2 Cr
Rodrygo,https://cdn.sofifa.net/players/243/812/23_60.png,1 Cr,D,RW,Brazil,81,2 Cr
R. Lewandowski,https://cdn.sofifa.net/players/188/545/23_60.png,15 Cr,S,ST,Poland,91,18 Cr
K. Mbappé,https://cdn.sofifa.net/players/231/747/23_60.png,15 Cr,S,ST,France,91,18 Cr
K. Benzema,https://cdn.sofifa.net/players/165/153/23_60.png,15 Cr,S,CF,France,91,18 Cr
L. Messi,https://cdn.sofifa.net/players/158/023/23_60.png,15 Cr,S,RW,Argentina,91,18 Cr
K. De Bruyne,https://cdn.sofifa.net/players/192/985/23_60.png,15 Cr,S,CM,Belgium,91,18 Cr
M. Salah,https://cdn.sofifa.net/players/209/331/23_60.png,15 Cr,S,RW,Egypt,90,18 Cr
Cristiano Ronaldo,https://cdn.sofifa.net/players/020/801/23_60.png,15 Cr,S,ST,Portugal,90,18 Cr
V. van Dijk,https://cdn.sofifa.net/players/203/376/23_60.png,15 Cr,S,CB,Netherlands,90,18 Cr
M. Neuer,https://cdn.sofifa.net/players/167/495/23_60.png,15 Cr,S,GK,Germany,90,18 Cr
T. Courtois,https://cdn.sofifa.net/players/192/119/23_60.png,15 Cr,S,GK,Belgium,90,18 Cr
H. Kane,https://cdn.sofifa.net/players/202/126/23_60.png,15 Cr,S,ST,England,89,18 Cr
Casemiro,https://cdn.sofifa.net/players/200/145/23_60.png,15 Cr,S,CDM,Brazil,89,18 Cr
J. Kimmich,https://cdn.sofifa.net/players/212/622/23_60.png,15 Cr,S,CDM,Germany,89,18 Cr
N. Kanté,https://cdn.sofifa.net/players/215/914/23_60.png,15 Cr,S,CDM,France,89,18 Cr
S. Mané,https://cdn.sofifa.net/players/208/722/23_60.png,15 Cr,S,LM,Senegal,89,18 Cr
Neymar Jr,https://cdn.sofifa.net/players/190/871/23_60.png,15 Cr,S,LW,Brazil,89,18 Cr
Ederson,https://cdn.sofifa.net/players/210/257/23_60.png,15 Cr,S,GK,Brazil,89,18 Cr
Alisson,https://cdn.sofifa.net/players/212/831/23_60.png,15 Cr,S,GK,Brazil,89,18 Cr
J. Oblak,https://cdn.sofifa.net/players/200/389/23_60.png,15 Cr,S,GK,Slovenia,89,18 Cr
H. Son,https://cdn.sofifa.net/players/200/104/23_60.png,15 Cr,S,LW,Korea Republic,89,18 Cr
Hakan Çalhanoğlu,https://cdn.sofifa.net/players/208/128/23_60.png,3 Cr,C,CM,Turkey,84,4 Cr
Ángel Correa,https://cdn.sofifa.net/players/214/997/23_60.png,3 Cr,C,ST,Argentina,83,4 Cr
Darwin Núñez,https://cdn.sofifa.net/players/238/955/23_60.png,6 Cr,B,ST,Uruguay,82,8 Cr
Gabriel Jesus,https://cdn.sofifa.net/players/228/188/23_60.png,3 Cr,C,ST,Brazil,82,4 Cr
P. Sarabia,https://cdn.sofifa.net/players/198/235/23_60.png,3 Cr,C,RW,Spain,81,4 Cr
R. De Tomas,https://cdn.sofifa.net/players/224/855/23_60.png,3 Cr,C,ST,Spain,82,4 Cr
N. Mazraoui,https://cdn.sofifa.net/players/233/428/23_60.png,3 Cr,C,RB,Morocco,81,4 Cr
Yuri Berchiche,https://cdn.sofifa.net/players/198/142/23_60.png,3 Cr,C,LB,Spain,82,4 Cr
D. Tadić,https://cdn.sofifa.net/players/194/037/23_60.png,3 Cr,C,LW,Serbia,84,4 Cr
D. Rojas,https://cdn.sofifa.net/players/269/763/23_60.png,1 Cr,D,CF,Mexico,84,4 Cr
R. Kent,https://cdn.sofifa.net/players/269/762/23_60.png,3 Cr,C,CDM,England,85,6 Cr
J. Grealish,https://cdn.sofifa.net/players/220/440/23_60.png,3 Cr,C,LW,England,84,4 Cr
M. Kovačić,https://cdn.sofifa.net/players/203/318/23_60.png,3 Cr,C,CM,Croatia,84,4 Cr
T. Partey,https://cdn.sofifa.net/players/215/766/23_60.png,3 Cr,C,CDM,Ghana,84,4 Cr
David Silva,https://cdn.sofifa.net/players/168/542/23_60.png,6 Cr,B,CAM,Spain,83,2 Cr
T. Lemar,https://cdn.sofifa.net/players/222/492/23_60.png,3 Cr,C,LM,France,84,4 Cr
K. Laimer,https://cdn.sofifa.net/players/224/509/23_60.png,3 Cr,C,CDM,Austria,83,2 Cr
McAdoo,https://cdn.sofifa.net/players/269/764/23_60.png,3 Cr,C,CB,England,84,4 Cr
D. Dumfries,https://cdn.sofifa.net/players/232/866/23_60.png,1 Cr,D,RB,Netherlands,82,2 Cr
A. Rabiot,https://cdn.sofifa.net/players/227/734/23_60.png,1 Cr,D,CM,France,82,2 Cr
P. Højbjerg,https://cdn.sofifa.net/players/219/416/23_60.png,3 Cr,C,CDM,Denmark,84,4 Cr
D. Upamecano,https://cdn.sofifa.net/players/239/626/23_60.png,3 Cr,C,CB,France,83,4 Cr
M. Rashford,https://cdn.sofifa.net/players/231/677/23_60.png,3 Cr,C,LW,England,83,4 Cr
P. Kimpembe,https://cdn.sofifa.net/players/229/436/23_60.png,3 Cr,C,CB,France,83,4 Cr
Chiamulera,https://cdn.sofifa.net/players/269/766/23_60.png,3 Cr,C,CB,Brazil,83,4 Cr
Carlos Soler,https://cdn.sofifa.net/players/228/702/23_60.png,3 Cr,C,CM,Spain,84,4 Cr
L. Martínez,https://cdn.sofifa.net/players/235/476/23_60.png,1 Cr,D,CB,Argentina,81,2 Cr
Nuno Mendes,https://cdn.sofifa.net/players/244/360/23_60.png,1 Cr,D,LB,Portugal,82,2 Cr
G. Guedes,https://cdn.sofifa.net/players/222/501/23_60.png,1 Cr,D,LW,Portugal,82,2 Cr
E. Tapsoba,https://cdn.sofifa.net/players/241/667/23_60.png,1 Cr,D,CB,Burkina Faso,82,2 Cr
C. Vela,https://cdn.sofifa.net/players/178/509/23_60.png,1 Cr,D,RW,Mexico,82,2 Cr
