Player Name,Position,Sold Price,Sold To
R. De Paul,MID,8,COOCHBEHAR UNITED FC
Muniain,MID,4,COOCHBEHAR UNITED FC
M. Salah,ATT,12,COOCHBEHAR UNITED FC
L. Martínez,ATT,23,COOCHBEHAR UNITED FC
Diogo Jota,ATT,8,COOCHBEHAR UNITED FC
P. Foden,ATT,8,COOCHBEHAR UNITED FC
F. Chiesa,ATT,3,COOCHBEHAR UNITED FC
L. Insigne,ATT,3,COOCHBEHAR UNITED FC
A. Griezmann,ATT,3,COOCHBEHAR UNITED FC
M. ter Stegen,GK,11,BAGHBAZAR TIGERS
Rúben Dias,DEF,21,BAGHBAZAR TIGERS
Jordi Alba,DEF,14,BAGHBAZAR TIGERS
A. Hakimi,DEF,9,BAGHBAZAR TIGERS
G. Chiellini,DEF,4,BAGHBAZAR TIGERS
A. Davies,DEF,23,BAGHBAZAR TIGERS
A. Bastoni,DEF,9,BAGHBAZAR TIGERS
N. Kanté,MID,14,BAGHBAZAR TIGERS
S. Mané,MID,18,BAGHBAZAR TIGERS
L. Goretzka,MID,16,BAGHBAZAR TIGERS
Fabinho,MID,10,BAGHBAZAR TIGERS
Jorginho,MID,6,BAGHBAZAR TIGERS
M. Ødegaard,MID,9,KAMARHATI KNIGHTS
D. Rice,MID,8,SHOBHABAZAR SMASHERS
Casemiro,MID,19,BAGHBAZAR TIGERS
R. Sterling,ATT,9,BAGHBAZAR TIGERS
C. Nkunku,ATT,9,BAGHBAZAR TIGERS
Iago Aspas,ATT,4,BAGHBAZAR TIGERS
Gerard Moreno,ATT,12,BAGHBAZAR TIGERS
V. Osimhen,ATT,3,BAGHBAZAR TIGERS
H. Lloris,GK,10,SHOBHABAZAR SMASHERS
João Cancelo,DEF,18,SHOBHABAZAR SMASHERS
D. Alaba,DEF,13,SHOBHABAZAR SMASHERS
N. Süle,DEF,6,SHOBHABAZAR SMASHERS
J. Koundé,DEF,8,SHOBHABAZAR SMASHERS
S. de Vrij,DEF,3,SHOBHABAZAR SMASHERS
G. Di Lorenzo,DEF,5,SHOBHABAZAR SMASHERS
T. Müller,MID,9,SHOBHABAZAR SMASHERS
N. Barella,MID,15,SHOBHABAZAR SMASHERS
Sergio Busquets,MID,16,SHOBHABAZAR SMASHERS
P. Pogba,MID,15,SHOBHABAZAR SMASHERS
J. Musiala,MID,8,SHOBHABAZAR SMASHERS
F. Valverde,MID,18,SHOBHABAZAR SMASHERS
K. Benzema,ATT,17,SHOBHABAZAR SMASHERS
P. Dybala,ATT,11,SHOBHABAZAR SMASHERS
C. Immobile,ATT,16,SHOBHABAZAR SMASHERS
Raphinha,ATT,6,BAGHBAZAR TIGERS
Rafael Leão,ATT,5,SHOBHABAZAR SMASHERS
E. Hazard,ATT,10,SHOBHABAZAR SMASHERS
Á. Di María,ATT,12,SHOBHABAZAR SMASHERS
K. Navas,GK,9,DAKSHINESHWAR DELTAS
T. Hernández,DEF,18,DAKSHINESHWAR DELTAS
Carvajal,DEF,5,DAKSHINESHWAR DELTAS
S. Coates,DEF,5,DAKSHINESHWAR DELTAS
R. Araújo,DEF,3,DAKSHINESHWAR DELTAS
L. Modrić,MID,29,DAKSHINESHWAR DELTAS
Thiago Silva,DEF,19,DAKSHINESHWAR DELTAS
M. Reus,MID,6,DAKSHINESHWAR DELTAS
J. Bellingham,MID,8,DAKSHINESHWAR DELTAS
Hakan Çalhanoğlu,MID,8,DAKSHINESHWAR DELTAS
J. Kimmich,MID,21,DAKSHINESHWAR DELTAS
K. Mbappé,ATT,25,ICHAPUR INVINCIBLES
H. Kane,ATT,23,DAKSHINESHWAR DELTAS
R. Mahrez,ATT,17,DAKSHINESHWAR DELTAS
W. Ben Yedder,ATT,9,DAKSHINESHWAR DELTAS
O. Dembélé,ATT,4,DAKSHINESHWAR DELTAS
