Player Name,Position,Sold Price,Sold To
İ. Gündoğan,MID,7,KAMARHATI KNIGHTS
Diogo Jota,ATT,9,KAMARHATI KNIGHTS
R. James,DEF,9,KAMARHATI KNIGHTS
F. Tomori,DEF,3,KAMARHATI KNIGHTS
Éder Militão,DEF,4,KAMARHATI KNIGHTS
S. Tonali,MID,5,KAMARHATI KNIGHTS
O. Dembélé,ATT,7,KAMARHATI KNIGHTS
F. Mendy,DEF,12,KAMARHATI KNIGHTS
B. Saka,MID,2,KAMARHATI KNIGHTS
R. Lewandowski,ATT,18,KAMARHATI KNIGHTS
K. De Bruyne,MID,31,KAMARHATI KNIGHTS
H. Kane,ATT,27,KAMARHATI KNIGHTS
J. Oblak,GK,12,KAMARHATI KNIGHTS
Marquinhos,DEF,25,BAGHBAZAR TIGERS
K. Navas,GK,14,BAGHBAZAR TIGERS
L. Goretzka,MID,16,BAGHBAZAR TIGERS
A. Robertson,DEF,18,BAGHBAZAR TIGERS
Bruno Fernandes,MID,7,BAGHBAZAR TIGERS
R. Mahrez,ATT,12,BAGHBAZAR TIGERS
Iago Aspas,ATT,6,BAGHBAZAR TIGERS
P. Pogba,MID,9,BAGHBAZAR TIGERS
M. de Ligt,DEF,8,BAGHBAZAR TIGERS
D. Vlahović,ATT,13,BAGHBAZAR TIGERS
M. Ødegaard,MID,3,BAGHBAZAR TIGERS
L. Díaz,ATT,7,BAGHBAZAR TIGERS
Carvajal,DEF,6,BAGHBAZAR TIGERS
S. de Vrij,DEF,3,BAGHBAZAR TIGERS
K. Trippier,DEF,6,BAGHBAZAR TIGERS
Sergio Ramos,DEF,10,BAGHBAZAR TIGERS
K. Mbappé,ATT,21,BAGHBAZAR TIGERS
Casemiro,MID,15,BAGHBAZAR TIGERS
Neymar Jr,ATT,16,BAGHBAZAR TIGERS
De Gea,GK,13,DAKSHINESHWAR DELTAS
T. Alexander-Arnold,DEF,17,DAKSHINESHWAR DELTAS
T. Müller,MID,17,DAKSHINESHWAR DELTAS
K. Coman,MID,6,DAKSHINESHWAR DELTAS
Thiago,MID,7,DAKSHINESHWAR DELTAS
C. Immobile,ATT,14,DAKSHINESHWAR DELTAS
Thiago Silva,DEF,16,DAKSHINESHWAR DELTAS
D. Alaba,DEF,20,DAKSHINESHWAR DELTAS
Vinícius Jr.,ATT,14,DAKSHINESHWAR DELTAS
Pedri,MID,19,DAKSHINESHWAR DELTAS
G. Chiellini,DEF,9,DAKSHINESHWAR DELTAS
S. Coates,DEF,7,DAKSHINESHWAR DELTAS
M. Salah,ATT,16,DAKSHINESHWAR DELTAS
Cristiano Ronaldo,ATT,12,DAKSHINESHWAR DELTAS
J. Kimmich,MID,16,DAKSHINESHWAR DELTAS
Darwin Núñez,ATT,6,DAKSHINESHWAR DELTAS
Rúben Dias,DEF,19,SHOBHABAZAR SMASHERS
M. ter Stegen,GK,35,SHOBHABAZAR SMASHERS
M. Verratti,MID,9,SHOBHABAZAR SMASHERS
Fabinho,MID,9,SHOBHABAZAR SMASHERS
N. Barella,MID,17,SHOBHABAZAR SMASHERS
R. Lukaku,ATT,12,SHOBHABAZAR SMASHERS
Gerard Moreno,ATT,13,SHOBHABAZAR SMASHERS
M. Reus,MID,6,SHOBHABAZAR SMASHERS
N. Süle,DEF,10,SHOBHABAZAR SMASHERS
M. Acuña,DEF,6,SHOBHABAZAR SMASHERS
W. Ben Yedder,ATT,6,SHOBHABAZAR SMASHERS
A. Hakimi,DEF,15,SHOBHABAZAR SMASHERS
Á. Di María,ATT,4,SHOBHABAZAR SMASHERS
L. Sané,MID,3,SHOBHABAZAR SMASHERS
R. De Paul,MID,3,SHOBHABAZAR SMASHERS
A. Tchouaméni,MID,5,SHOBHABAZAR SMASHERS
S. Mané,MID,31,SHOBHABAZAR SMASHERS
João Cancelo,DEF,23,COOCHBEHAR UNITED FC
G. Donnarumma,GK,16,COOCHBEHAR UNITED FC
K. Koulibaly,DEF,31,COOCHBEHAR UNITED FC
M. Depay,ATT,6,COOCHBEHAR UNITED FC
P. Schick,ATT,6,COOCHBEHAR UNITED FC
Jorginho,MID,8,COOCHBEHAR UNITED FC
K. Walker,DEF,17,COOCHBEHAR UNITED FC
Y. Carrasco,MID,6,COOCHBEHAR UNITED FC
J. Tartt,ATT,3,COOCHBEHAR UNITED FC
F. Chiesa,ATT,3,COOCHBEHAR UNITED FC
A. Davies,DEF,7,COOCHBEHAR UNITED FC
L. Hernández,DEF,7,COOCHBEHAR UNITED FC
F. Kessié,MID,3,COOCHBEHAR UNITED FC
A. Gómez,MID,3,COOCHBEHAR UNITED FC
S. Canales,MID,3,COOCHBEHAR UNITED FC
Muniain,MID,3,COOCHBEHAR UNITED FC
H. Ziyech,MID,3,COOCHBEHAR UNITED FC
S. Obisanya,MID,1,COOCHBEHAR UNITED FC
V. van Dijk,DEF,25,COOCHBEHAR UNITED FC
T. Courtois,GK,23,COOCHBEHAR UNITED FC
